video_id,date,likes,comments,saves,caption,text_in_video,content_type,subtype,discussion_in_comments,notes
7542229940184419607,2025-08-24,225.7k,1002.0,40.4k,"THE BLUEPRINT ❤️‍🔥 

#BookTok 

#enemiestolovers 

#zodiacacademy 

#toryvega 

#dariusacrux",When I say I want enemies to lovers...this is what I mean [enemies -first kiss-enemies with benefits-enemies struggling with their feelings but slowly falling in love-lovers],int,normative eval,,"il trope è discusso es. ""I love slow burn...but not that slow"" etc.
the name of the book is not written but some people recognized it"
7533140794933398791,2025-07-31,11.9k,75.0,7805.0,"Enemies to lovers will always be a favourite trope ✨📖 

#BookTok 

#bookrecommendations 

#wlw 

#wlwbooks 

#enemiestolovers 

#sapphicbooks 

#lgbtbooks 
Vampire Enemies to Lovers Books
Wlw Книги
Enemy to Lover Books Romance
Lesbian Friends to Enemies to Lovers
Wlw Books Audible
Wlw Book Detailed Pages
Enemies to Lovers Wlw
Livros De Enemies to Lovers
Enemies to Lovers Livros Gay
Enemies to Lovers Shared Bed Wlw",Enemies to lovers but make it sapphic,rec,,,pila di libri che scorrono
7450188249009605910,2024-12-19,6473.0,8.0,1513.0,"Omg 📚Silent vows 

#enemiestolovers 

#Booktok 

#romancebooks 

#bookrecommendations","When his arranged wife always act like she doesn't care about him, but when another girl puts her hand on his shoulder, she immediately gets in between ""When I saw Ivy step forward, I realized what was happening. Noemi was saking her claim. Fuck me if I didn't love the way that felt. I had no clue how she'd known I had a past with ivy, but she couldn't have been more obvious if she'd tattooed her name on my forehead. Not that I would complain. She could have pissed a circle around me, and I would have just laughed""",int,text,,"""when videos"": subtype? trend? other"
7539613831606127894,2025-08-17,136.7k,1729.0,24.3k,"If you read closely you can see the middle part happening👩‍❤️‍💋‍👩

#booktok 

#bookedit 

#wlw 

#enemiestolovers 

#fyp",Enemies-fucking-lovers,int,structure,,
7566740460471880981,2025-10-29,9073.0,286.0,7957.0,"I hear we need more yearning and yearning books with lots of angst happens to be my middle name 

#romancebooks 

#booktok 

#enemiestolovers books like boys of tommen 

#romancebooktok underrated romance books",Yearning and Angst underrated books,rec,,,
7598402449866640670,2026-01-23,768.0,2.0,260.0,"Before they marry me off…

#booktok 

#currentlyreading 

#bookrecommendations 

#romancereader 

#tbr","She is the daughter of your family rival, but she wants one night with her enemy before they marry her off to another man... Burning Skies Lex Martin Small Town Enemies to Lovers Suspense Standalone Series/KU",int,text,,"""this is just liquified 50 shardes of grey"" gran commento"
7481793902907837738,2025-03-14,3822.0,21.0,1907.0,"I hope this doesn’t find you by Ann Liang 
Not here to be like by Michelle Quach

#bookrecommendations 

#bookreview 

#bookworm 

#booklover 

#enemiestolovers 

#academicrivals 

#enemiestoloversbooks 

#enemiestoloverstrope",Enemies to lovers/academic rivals trope in one book >>>>,rec,,,
7235959996473756935,2023-05-22,35.6k,385.0,16.3k,"Replying to 

[CREATOR] books with enemies to lovers 📚🔥🌶️⭐️❤️ 

#enemiestolovers 

#enemiestoloverstrope 

#darkromance 

#darkromancebooks 

#romance 

#romancebooks 

#romancebooktok 

#booktok 

#booktokbrasil 

#booktoker 

#bookish 

#bookishthoughts 

#bookishhumor 

#bookrecommendations 

#bookrecs 

#bookrecs 

#bookreview 

#book 

#books 

#bookstan 

#bookshelf 

#book 

#fyp 

#foryou 

#foryoupage 

#fypシ 
Quick Read Enemies to Lovers Books
Dark Enemies to Lovers Books
Enemies to Lovers Book Scenes Page
Enemies to Lovers Books
Mm Enemies to Lovers Book
Books Like Still Beating
Enemies to Lovers Kitap Önerileri
Fae Enemies to Lovers Books
Enemy to Lovers Books Deutsch
Enemies Neighbors to Lovers Books",Please do ENEMIES to LOVERS!,rec,,,"interessante parla dei trope dentro i libri come lista --> prescrittivo. la trama è ridotta al minimo, + spazio ai trope"
7254023629309103402,2023-07-10,320k,963.0,156.7k,"#fyppppppppppppppppppppppp 

#foryou 

#movies

#enemiestolovers

#foryoupage 

#booktok",Who was gonna tell me that this movie existed?,rec,,,"è un film, ma è uscito con la query etl+booktok"
7593182180671573278,2026-09-01,155.0,2.0,45.0,"Dark Small Town Romance
- Enemies to Lovers
- Forced Proximity 

#booktok 

#darkromance 

#smalltownromance 

#cowboyromance 

#bookrecommendations",When she finds out exactly what helps the cowboy fll asleep at night and he's embarassed until...,rec,"text
self promo",,
7534033325296487687,2025-08-02,201.0,12.0,65.0,the ‘don’t touch my wife’ trope EATS everytime 🤌🏻🫠,don't touch my wife trope >>> enchantra by kaylie smith,rec,text,,>>> altro trend?
7598928695709060374,2026-01-24,11.1K,363.0,944.0,"I love him, but I don't think he has the right to forbid Azriel. I need to know what BookTok thinks about that.. Protective... or controlling?
#azriel
#acotar
#sarahjmaas
#booktok
#rhysand","Rhys growled: ""Allow me to make one thing VERY CLEAR. You are to STAY AWAY from her.""
Azriel: ""You CAN'T order me to do that.""
Did this line change how you see Rhys? And did the bonus chapter make it worse?",int,text,,
7593044100966845718,2026-01-08,31.9K,212.0,17.7K,"The yearning, the forbidden romance, the morally grey/golden retriever MMC I can't with this book 
#bookrecs 
#slowburnfantasy 
#epicfantasy 
#darkromance 
#romantasyreads","Must read... 
Enemies to lovers
Yearning
Touch her & d!e
Forbidden love
Mythical creatures
You came x You called
Her people told her he was the enemy...
Oh, how wrong they were...
THE STARCROSSED SAGA BOOK1
In Between Darkness
MJ CASTLETON",rec,,,
7580227075571862839,2025-12-05,134.1K,842.0,20.4K,"it's giving enemies dancing together at a ball #reader
#romantasy
#enemiestolovers
#booktropes
#shadowsbetweenus",need an enemies to lovers fantasy book that feels like this song,int,,,"chiede rec, ma interpreta la canzone"
7589002626847624470,2025-12-28,68.7k,229.0,12.7k,Give me moreee #arrangedmarriage #mafiaromance #booktok #fyp #bookish,"When I come across an enemies to lovers, arranged marriage, mafia romance book I HAVEN'T read !",int,POV,,
7582731272217201951,2025-12-11,201.3k,2189.0,57.2k,"It’s been days and I’m still crying 😭
📖: Wrecked by Bree L Mina … Bring your tissues bc this book will emotionally destroy you 💔 

[CREATOR] L. Mina 📚  

#tragiclovestory 

#sadbooks 

#booksthatwilldestroyyou 

#emotionalbooks 

#creatorsearchinsights","""I want to read a book that's going to emotionally destroy me""",rec,emotional,,
7600461118896688406,2026-01-29,86.0,4.0,19.0,"questo fantasy ha TUTTA la mia attenzione🤭✨

#booktok 

#booktokitalia 

#romantasy 

#enemiestoloversrec 

#fantasyromance","enemies to lovers
quando è un nuovo fantasy romance",rec,IT,,
7598952547591736598,2026-01-25,6691.0,35.0,756.0,"Slow burn >> 

#BookTok 

#enemiestolovers 

#bookrecs 

#romantasy 

#booktokf",Enemies-enemies flirting-betrayal-enemies in love-lovers,int,structure,,
7583947204004564255,2025-12-15,4493.0,16.0,1694.0,"the shard and the serpent 

#kindleunlimited 

#bookrecommendations 

#enemiestolovers 

#bookcommunity 

#romance","Enemies to lovers? WORSE. Fated mates who cut their bond for ultimate revenge but now people are dead and the narrator said ""I'VE LIED TO YOU""",rec,self promo,,
7590044648119323926,2025-12-31,45.5k,243.0,8506.0,"#BookTok 

#bookrecommendations 

#enemiestolovers 

#romancebooks 

#booktokfyp","When she's mute and hasn't said a word since she was 11, but when her enemy gets shot she screams his name",int,,,
7590505031883836675,2026-01-01,746.9k,1615.0,83.9k,Enemies to lovers from her POV // enemies to lovers from his POV,"COME HERE RIGHT NOWWWWW 

#enemiestolovers 

#BookTok 

#fyp ",int,,,nei commenti discussione sul pov
7597476878865288478,1-20-26,60.9k,121.0,20.2k,"And what if she starts sweating and takes her jacket off… WHAT THEN! 

#booktokrecs 

#fictionalcharacters 

#enemiestolovers 

#begthenight 

#bookgirlies","WHAT IF the enemies are being drugged so they'll *mate*...and she thinks he isn't affected by the drug in the air...but he's lowkey fighting for his life and gripping the cell bars until his knuckles turn white ""Stay over there and we'll be fine.""",rec,self promo,,
7584900728381050126,2025-12-17,119.1k,144.0,3608.0,"📖 The Silver Flame now available on Kindle Unlimited!  

#bookhumor 

#kindleunlimitedfantasy 

#enemiestolovers 

#lovetriangle 

#romantasyseries",Everyone told me I read so much I should just write my own book,rec,self promo,,
7599032985714691330,1-24-26,197.1k,530.0,18k,Gets. Me. Barking.,My reaction when asked: Enemies to Lovers or Fake Dating? ...,int,,,
7583454153070923040,2025-12-13,31k,302.0,5011.0,"✨I like BIG books✨and I cannot lie 😬

QOTD: What are you reading this weekend?

I have a couple of books I hope to finish this weekend (hopefully I’ll find some time to sneak some reading in!)

#bookhumor 

#bookgirls 

#bookaddicted","""Look at her BOOK""",int,,,
7587128715935517972,2025-12-13,6436.0,62.0,5225.0,"All the fantasy romance book recs 👋👋👋👋 

#fantasyromance 

#romantasy 

#booktok 

#enemiestolovers 

#fourthwing romantasybooks fantasy romance enemies to lover",If you like...read these books,rec,,,"formula: if you like this, read that"
7592218176948145430,2026-06-01,61.3k,130.0,15.4k,"#BookTok 

#bookrecommendations 

#enemiestolovers 

#romancebooks 

#booktokfyp",She pretends to lose her memories so her enemy wouldn't kill her // her enemy lying to her and telling her he's her fiance,int,emotional,,
7602376069768875286,2026-02-03,973k,1901.0,120.6k,Absolute. Cinema. #fyp #BookTok #enemiestolovers,How most like enemies to lovers: // how I like enemies to lovers,int,structure,,discussione struttura etl: sempre sullo yearning che deve durare
7588689331104304415,2025-12-26,30.7k,181.0,3277.0,"zodiac academy core 

#fyp 

#booktok 

#booktokfyp 

#enemiestolovers 

#booktropes",I'm so hungry i could eat a 5+ book series of REAL enemies to lovers where they don't actually become lovers until book 3,int,strucure,,
7602735387173358868,2026-02-04,9004.0,178.0,239.0,I would have swan dived in the pot of soup. #acotar #acotar 6 acotar 6 release #romantasy #enemiestolovers Rhysand and Feyre #acomaf,,int,,,book review
7597281047943908639,1-20-26,51.4k,108.0,18.7k,WDYM YOURE OVER THIS TROPE?? WDYMMMM? (Wings so wicked by [CREATOR WORK]) #enemiestolovers #fictionalcharacters #booktokrecs #bookishthoughts,"BUT WDYM she was hurt and betrayed and had NO ONE so she CRAWLEDDD to her enemy's door faints on the way, and when she wakes, she can hear him mumbling ""don't fucking die"" over and over again FREAKING OUT holding her",rec,self promo,,
7598282019826568470,1-22-26,769.9k,1571.0,65k,"Day 7 of my TikTok-versary 🤍 A year on this app and somehow I’m still here(?), albeit emotionally attached to fictional men and making videos about books like it’s my full-time job…. Regardless thank you for the love, the chaos, and the comments that feel like found family, this corner of the internet is truly my Velaris. The love i recieve at times really feels like a dragon bond I absolutely did not earn and stuck around even when I disappeared into reading slumps which i cannot thank yall enough for. So from page one to now, this journey has been incredible. I love you all more than Feyre loves painting and Violet loves almost dying - Ali 💚",,int,,,reaction
7601086957460016402,2026-02-01,80.7k,284.0,56.4k,"yeah this book is blowing up, and for good reason. No notes. All the stars. The emotional complexity of this book had me in a chokehold 

[CREATOR] M. WOLFE this was everything!!!!! True enemies to lovers, a dystopian world that has you hooked, and the FEMININE RAGE!!!!!! I cannot WAIT for Python!!! 🤌🏼🤌🏼 

#bookrecs 

#darkromancerecs 

#daggermouth 

#booktok 

#enemiestoloversrecs","I just finished my first 6 star read of 2026. This song is every single main character, every single FEMALE in this book. I have no words. H.M. Wolfe, you did that.",int,,,book review
7600850533158702339,2026-01-31,15.2k,152.0,10.4k,"The best trope ever? Possibly 😮‍💨 

#foryoupageofficial 

#booktok 

#bookrecommendations 

#enemiestolovers 

#romantasy",Enemies to lovers,rec,,,
7597543391169105172,1-20-26,12.1k,180.0,10.1k,"Let me know if you would like a part 2! We have lots more book recs to go 👀👀

#fantasyromance 

#spicybooks 

#enemiestolovers 

#romantasy 

#booktok",Fantasy romance books with good plot,rec,,,
7602847662748011789,2026-02-04,291.0,13.0,230.0,"#arrangedmarriage 

#booksthatmademecry 

#romantasybooks 

#enemiestolovers 

#emotionalromancereads","She is forced to marry the wealthiest man in the city, but at the altar, he says, ""I despise this arrangement no less than you.""
....",int,text,,
7594513590099545346,2025-12-01,37k,112.0,16.2k,"And it’s a FINISHED SERIES?!? Compelling Fates Saga by Sophia St. Germain 

#bookrecommendations 

#kindleunlimited","When they enemied HARD in book one but in book two they're captured together and HE CRAWLS to her, injured and dragging the chains he's bound in, when she panics because he is the only thing that will snap her out of it",int,,,
7601906734663322900,2026-02-02,97.1k,443.0,4604.0,"i need it to feel like a reward if they get together immediately it’s not fun anymore 

#enemiestolovers 

#booktropes 

#booktok 

#bookish 

#yearning",How normal people like enemies to lovers//how i like enemies to lovers,int,structure,,
7586451259150830903,2025-12-22,25.6k,267.0,22.8k,"5 books so addicting I finished them in under 24 hours or less! 

#booktok 

#romancebooks 

#bookrecommendations 

#popularbooks 

#fyp",5 books so addicting I finished them in under 24 hours,rec,normative eval,,
7600250281099595038,2026-01-28,716.0,2.0,49.0,"need to see them in concert again like NOW 

#chaseatlantic 

#enemiestolovers 

#romance 

#wattpad 

#booktropes",chase atlantic is for the girlies who love enemies to lovers with lots of tension and angst,int,,,
7581929051925892383,2025-12-09,40.9k,1304.0,37.3k,"I’m telling you THESE are the romantasy books of 2025 we should be feral over.  Adjust your TBR immediately.  

#romantasy 

#popularbooks 

#underhypedbooks 

#bookrecs 

#darkfantasy the ascended by Lennox and grenwich, the compelling fates saga",,rec,normative eval,,"formula: ""true enemies to lovers"""
7594941425360342293,1-13-26,5888.0,118.0,4944.0,"Plot 🤝🌶️🌶️

#spicybooks 

#fantasyromance 

#enemiestolovers 

#romantasybooks 

#booktok enemies to lovers books with yearning romance books best books to read in 2026",Wildly spicy with page turning plot,rec,normative eval,,
7592458599721454866,2026-07-01,8799.0,121.0,1317.0,"Sold… I need more books with this trope 😭 

#booktok 

#enemiestolovers 

#rivalstolovers 

#booklover 

#romantasy",They literally want to kill each other...,int,,,
7602790142222273805,2026-02-04,2796.0,48.0,820.0,the way i talked about woven kingdom the longest…. it’s just that girl #booktok #bookrecs #romantasybooks #yearning #romantasybookrecs,Yearning romantasy book recs,rec,,,
7602776870811127054,2026-02-04,3772.0,36.0,93.0,"How can one be so lucky 🗡️🩸

#booktok 

#romantasy 

#fantasybooks 

#bookish 

#fyp","""are you okay?"" well...I'm not at a ball dancing with my enemy with a dagger strapped to my thigh under my dress...so no.",int,,,
7603072127142530317,2026-02-05,62.0,0.0,25.0,"The Secrets of Jane by [CREATOR WORK]

#kindleunlimitedromance 

#romantasy 

#spicybooktok 

#enemiestolovers 

#morallygrey","When the book starts with ""bastard broke my knuckles"" because the FMC punched someone",rec,self promo,,
7596624154753813780,1-18-26,326.0,31.0,126.0,"If you love emotional damage, here are some phenomenal enemies to lovers book recs! ❤️‍🩹⚔️✨📖 

#booktok 

#romantasy 

#fantasybooktok 

#enemiestolovers 

#bookrecommendations",,rec,,,
7588233000614202655,2025-12-26,22.6K,569.0,16K,The official TOP 10 BEST Romantasy books of 2025.  Am I right or am I right? #ranking #2025books #romantasy #fantasybooktok #bestbooks,"RANKING
THE TOP 10 BEST ROMANTASY BOOKS OF 2025",rec,normative eval,,
7588228312334486839,2025-12-26,"14.6K
",165.0,9934.0,Part two will have my dark romance book recommendations so get ready 😈👏 #romancebooks #popularbooks #booktok #bookrecommendations #fyp,500+ books later... & these 10 fantasy romances come in at the TOP,rec,normative eval,,
7603476589979962637,2026-02-05,113.0,2.0,54.0,"Two book recs for the Fourth Wing lovers ❤️‍🔥

A Requiem for Fallen Stars by Hazel S. Wilkes
Riftborne by Greenwich & Lennox

#romantasybookrecs #kindleunlimitedbookrecs #fourthwing ##enemiestoloversbooks##romantasyreads",if you love Fourth Wing for the setting TWO BOOK RECS,rec,,,"formula: if you like this, you'll like that"
7603142391620455694,2026-02-05,1273.0,67.0,699.0,"[a d] pretty underhyped fantasy and romantasy books that we really need start screaming about more. Mostly completed series and standalone fantasy books? SAY LESS #fantasybooks #romantasy #BookTok #bookrecs #fantasyromance 

📚Rose in Chains - Julie Soto

📚 The Freckled Fate Saga (COMPLETED and on KU) - Tetyana Walker 

📚The lies of Lena- Kylie Snow 

📚The Never List- Jade Presley 

📚The poison Daughter- Sheila Masterson 

📚Sacred Stones Trilogy (completed) -Kate Golden

Romantasy • fantasy books • book recs • fantasy romance • dark fantasy",Underhyped fantasy books,rec,normative eval,,fromula: it's a real enemies to lovers
7603423311158086935,2026-02-05,1094.0,41.0,62.0,3 books i did DNF and 3 i should’ve 🫣 #bookseries #fantasybooks #dnf #popularbooks,3 books i did DNF and 3 i should’ve DNF'd,int,,,review; usa il trope per criticare il libro perché non era abbastanza etl
7582293518601751838,2025-12-10,"17.4K

",662.0,1365.0,Where are you? 🧐 read my book [CREATOR WORK] #romantasy #fantasyromance #romantasyreaders #romantasybooktok #enemiestolovers,Dear Algorithm: send me romantasy readers who would rather watch a 35 YEAR OLD woman handle herself against a man her own age than another 19 year old forced to marry a 1000 year old fairy.,int,,,
7601262725485874454,1set. fa,"13.3K
",48.0,3762.0,These two are so sassy #rafevisconti #penelopeprice #sinnerscondemned #darkromance #Booktok,TRUE ENEMIES TO LOVERS,int,text,,
7602002969843830071,5g fa,1341.0,63.0,729.0,January FANTASY ROMANCE reading wrap up. So many bangers this month. #booktok #bookrecs #fantasybooks #romantasy #fantasyromance,January reading wrap up,int,"normative eval
wrap up",,monthly wrap up
7581198238456335629,2025-12-07,"15.6K

",150.0,12.8K,"Romantasy books with the BEST banter! 🙏🏻 because we all know the banter in the romance book is KEY 

#romantasy #enemiestolovers #romantasybooks #romantasybookrecs","ROMANTASY WITH GOD TIER BANTER
chemistry + yearning",rec,normative eval,,
7593207367810993422,2026-09-01,462.0,68.0,347.0,"These are some of my favsssss 

#enemiestoloversbooks #romantasybooktok #romantasybookrecs #darkromancerecs #booktokbooks",ENEMIES TO LOVERS? SAY LESS.,rec,,,
7603882517770390815,2026-02-06,225.0,1.0,39.0,Yes I declare this its own genre (📚: wings so wicked) #enemiestoloversromance #booktokrecs #bookscenarios #forcedproximitybookrecs #bookgirlies,"""What's your favorite genre?""-
when the enemies now share emotions and they're huddled together for warmth...
""Stop that,"" he growls.
""Stop what?""
""Thinking those things...""",int,text,,
7580435644325973303,2025-12-05,"18.4K
",111.0,12.5K,"If you ignore all your responsibilities you can get an awful lot of reading done 😌 #booktok #romancebooks #bookrecommendations #fyp #popularbooks 
5 Addictive Romance Books to Read Non-",5 romance books so ADDICTIVE that I didn't move for 24 hours,rec,,,
7603812609317457172,2026-02-06,86.0,9.0,18.0,"Have you read these books yet? 

#daggermouth #romantasy #booktok #romanticfantasy #acotar",Books you shouldn't sleep on,rec,normative eval,,
7601621841060449556,1set. fa,8047.0,199.0,3937.0,Just my correct opinions on fantasy romance books 🤣#booktok #fantasyromance #romantasy #fantasybooks #enemiestolovers the ascended book daggermouth book enemies to lovers fantasy books must read,Overhyped or underhyped?,rec,,,
